Type of Disaster,Number,Event,Period,Compiled using preliminary data,Begin Date,End Date,Summary,CPI-AdjustedEstimatedCost(inBillions),More than $1B after CPI adjustment,Deaths
Tropical Cyclone,403,Hurricane Ivan, Sep 2004,Y,12 09 2004,21 09 2004,"Category 3 hurricane makes landfall on Gulf coast of Alabama, with significant wind, storm surge, and flooding damage in coastal AL and FL panhandle, along with wind/flood damage in the states of GA, MS, LA, SC, NC, VA, WV, MD, TN, KY, OH, DE, NJ, PA, and NY.",$30.80,,57
Tropical Cyclone,406,Hurricane Frances, Sep 2004,Y,3 09 2004,9 09 2004,"Category 2 hurricane makes landfall in east-central Florida, causing significant wind, storm surge, and flooding damage in FL, along with considerable flood damage in the states of GA, SC, NC, and NY due to 5-15 inch rains.",$14.70,,48
Tropical Cyclone,409,Hurricane Charley, Aug 2004,Y,13 08 2004,14 08 2004,"Category 4 hurricane makes landfall in southwest Florida, resulting in major wind and some storm surge damage in FL, along with some damage in the states of SC and NC.",$24.00,,35
Severe Storm,412,"Severe Storms, Hail, Tornadoes", May 2004,Y,21 05 2004,27 05 2004,"Severe storms including tornadoes and hail cause damage across the Midwest, South, Southeast and Northeast regions. The states impacted include IA, IL, IN, KY, MI, MO, NC, NE, NY, OK, OH and WI.",$1.50,,4
Wildfire,415,California Wildfires,Fall 2003,Y,1 09 2003,30 11 2003,"Dry weather, high winds, and resulting wildfires in Southern California burned over 3,700 homes. Nearly 4.0 million acres burned across numerous western states including Alaska.",$6.00,,22
Drought,418,Western/ Central Drought/ Heat Wave,Spring-Fall 2003,Y,1 03 2003,30 11 2003,"2003 drought across western and central portions of the U.S. with losses to agriculture. The states most impacted include AZ, CO, IA, ID, IL, KS, MI, MN, MO, MT, ND, NE, NM, OR, SD, WA and WI.",$7.70,,35
Tropical Cyclone,421,Hurricane Isabel, Sep 2003,Y,18 09 2003,19 09 2003,"Category 2 hurricane makes landfall in eastern North Carolina, causing considerable storm surge damage along the coasts of NC, VA, and MD, with wind damage and some flooding due to 4-12 inch rains in NC, VA, MD, DE, WV, NJ, NY, and PA.",$8.40,,55
Severe Weather,424,Severe Weather, Jul 2003,Y,21 07 2003,23 07 2003,"Severe storms impact states across the South, Southeast, Midwest and Northeast regions. The states most impacted include AR, AL, MS, GA, FL, SC, TN, KY, MI, NY, OH, PA and VT.",$1.50,,7
Severe Weather,427,Midwest/ Plains Severe Weather, Jul 2003,Y,4 07 2003,9 07 2003,"Severe storms affect the states IA, IL, IN, MI, MN, OH, VA, WV across the Midwest and Plains.",$1.30,Y,7
Severe Storm,430,Severe Storms/ Tornadoes, May 2003,Y,3 05 2003,10 05 2003,"Numerous tornadoes over the midwest, Mississippi valley, OH/TN valleys, and portions of the southeast, with a modern record one-week total of approximately 400 tornadoes reported",$6.30,,51
Severe Storm,433,Severe Storms/ Hail, Apr 2003,Y,4 04 2003,7 04 2003,"Severe storms and large hail over the southern plains and lower MS valley, with Texas hardest hit, and much of the monetary losses due to hail.",$3.10,,3
Wildfire,436,Western Fire Season,Fall 2002,Y,1 09 2002,30 11 2002,"Major wildfires over 11 western states from the Rockies to the west coast due to drought and periodic high winds, with over 7.1 million acres burned.",$2.10,,21
Drought,439,U.S. Drought,Spring-Fall 2002,Y,1 03 2002,30 11 2002,"Moderate to extreme drought over large portions of more than 30 states, including the western states, the Great Plains, and much of the eastern U.S.",$14.10,,0
Severe Storm,442,Eastern Tornadoes and Severe Storms, Nov 2002,Y,9 11 2002,11 11 2002,"Tornado outbreak of over 100 tornadoes across many eastern states causes widespread damage (AL, MS, GA, TN, KY, OH, PA). Tennessee and Ohio had the highest count of tornadoes.",$1.10,Y,28
Tropical Cyclone,445,Tropical Storm Isidore, Sep 2002,Y,25 09 2002,27 09 2002,"Tropical Storm Isidore caused heavy rain, flooding, tornadoes and coastal storm surge that impacted Louisiana, Mississippi, Alabama and Tennessee. Rainfall exceeded 15 inches across southern Louisiana with storm surge over 8 feet.",$1.80,,5
Tropical Cyclone,448,Hurricane Lili, Oct 2002,,1 08 2002,5 08 2002,"Category 1 hurricane makes landfall in Louisiana after causing damage across Saint Lucia, Jamaica, Haiti and Cuba.",$1.70,,2
Severe Storm,451,Severe Storms and Tornadoes, Apr 2002,,27 04 2002,28 04 2002,"Numerous tornadoes and widespread hail damage over the Central and Eastern states including NC, GA, VA, TX, AR, MO, MS, TN, IL, IN, KY, PA, MD, NY, OH, WV, and KS.",$3.30,,7
Tropical Cyclone,454,Tropical Storm Allison, Jun 2001,,5 06 2001,17 06 2001,"The persistent remnants of Tropical Storm Allison produce rainfall amounts of 30-40 inches in portions of coastal Texas and Louisiana, causing severe flooding especially in the Houston area, then moves slowly northeastward; fatalities and significant damage reported in TX, LA, MS, FL, VA, and PA",$13.50,,43
Severe Storm,457,Midwest/ Ohio Valley Hail and Tornadoes, Apr 2001,,6 04 2001,11 04 2001,"Storms, tornadoes, and hail in the states of TX, OK, KS, NE, IA, MO, IL, IN, WI, MI, OH, KY, WV, and PA, over a 6-day period.",$4.90,,3
Drought,460,Western/ Central/ Southeast Drought/ Heat Wave,Spring-Fall 2000,Y,1 03 2000,30 11 2000,"Western/Central/Southeast Drought/Heat Wave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",$8.20,,140
Flooding,463,South Florida Flooding, Oct 2000,,3 10 2000,4 10 2000,Heavy rainfall up to 15 inches affected south Florida surrounding Miami that resulted in severe flooding that damaged thousands of homes and businesses. There was also several hundred million in damage done to agriculture.,$1.50,Y,3
Wildfire,466,Western Fire Season,Spring-Summer 2000,Y,1 03 2000,31 08 2000,"Severe wildfire season in the western states due to drought and frequent winds, with nearly 7 million acres burned.",$1.80,,0
Severe Weather,469,Southern Severe Weather, Mar 2000,Y,28 03 2000,29 03 2000,"Severe weather produced tornadoes, hail and high wind damage across Louisiana and Texas. The damage was most focused in northeastern Texas. These storms caused impacts to many homes, vehicles and businesses.",$1.10,Y,0
Winter Storm,472,Southeast Winter Storm, Jan 2000,Y,21 01 2000,24 01 2000,"Strong winter storm causes disruption and damage over numerous southeastern states (AL, GA, NC, SC, TN, LA, VA). Record amounts of snowfall occured across central North Carolina, with snow totals in excess of 20 inches.",$1.20,Y,4
Tropical Cyclone,475,Hurricane Floyd, Sep 1999,,14 09 1999,16 09 1999,"Large, category 2 hurricane makes landfall in eastern NC, causing 10-20 inch rains in 2 days, with severe flooding in NC and some flooding in SC, VA, MD, PA, NY, NJ, DE, RI, CT, MA, NH, and VT.",$11.00,,77
Drought,478,Eastern Drought/ Heat Wave,Summer 1999,Y,1 06 1999,31 08 1999,"Very dry summer and high temperatures, mainly in eastern U.S., with extensive agricultural losses. The states impacted include AL, AR, FL, GA, KY, LA, MD, MS, NC, NJ, OH, SC, TN, VA, WV and PA.",$4.20,,502
Severe Storm,481,Oklahoma and Kansas Tornadoes, May 1999,,3 05 1999,6 05 1999,"Outbreak of F4-F5 tornadoes hit the states of Oklahoma and Kansas, along with Texas and Tennessee, Oklahoma City area hardest hit.",$3.40,,55
Winter Storm,484,Central and Eastern Winter Storm,Mid-January 1999,,13 01 1999,16 01 1999,"Winter storm affecting the Central and Eastern states including IL, IN, OH, MI, WV, VA, MD, PA, NJ, NY, MA, CT, VT, NH and ME.",$1.50,Y,0
Winter Storm,487,Central and Eastern Winter Storm, Jan 1999,,1 01 1999,4 01 1999,"South, Southeast, Midwest, Northeast affected by damaging winter storm",$1.70,,25
Freeze,490,California Freeze, Dec 1998,,20 12 1998,28 12 1998,A severe freeze damaged fruit and vegetable crops in the Central and Southern San Joaquin Valley. Extended intervals of sub 27° F temperatures occurred over an 8-day period.,$4.30,,0
Flooding,493,Texas Flooding, Oct 1998,,16 10 1998,24 10 1998,"Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",$1.60,Y,31
Tropical Cyclone,496,Hurricane Georges, Sep 1998,,20 09 1998,29 09 1998,"Category 2 hurricane strikes Puerto Rico, Virgin Islands, Florida Keys, and Gulf coasts of Louisiana, Mississippi, Alabama, and Florida panhandle, 15-30 inch 2-day rain totals in parts of Alabama and Florida",$10.30,,16
Drought,499,Southern Drought and Heat Wave,Summer 1998,,1 06 1998,31 08 1998,"Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",$6.10,,200
Tropical Cyclone,502,Hurricane Bonnie, Aug 1998,,27 08 1998,29 08 1998,"Category 3 hurricane strikes eastern North Carolina and Virginia, extensive agricultural damage due to winds and flooding, with 10-inch rains in 2 days in some locations.",$1.70,,3
