Type of Disaster,Number,Event,Period,Compiled using preliminary data,Begin Date,End Date,Summary,CPI-AdjustedEstimatedCost(inBillions),More than $1B after CPI adjustment,Deaths
Drought,652,Southeast Drought/ Heat Wave,Summer 1986,,1 06 1986,31 08 1986,"Severe summer drought in parts of the southeastern U.S. with severe losses to agriculture. The states impacted include AL, AR, GA, LA, MS, NC, SC, TN and VA.",$4.60,,100
Severe Storm,655,Western Severe Storms and Flooding, Feb 1986,,14 02 1986,16 02 1986,"Severe storms and flooding affect the states CA, CO, NV, OR, WY across the West.",$1.30,Y,13
Flooding,658,"Virginia, West Virginia, Pennsylvania and Maryland Flooding", Nov 1985,,3 11 1985,8 11 1985,"Historic flooding damaged or destroyed over 10,000 homes and businesses across West Virginia and Virginia. Rainfall exceeded 19 inches, which forced the Roanoke and James Rivers, among others, to record levels. The damage in Virginia was most severe in the towns of Roanoke and Richmond. In Pennsylvania, floods also damaged or destroyed several thousand homes. Maryland experiened severe but more isolated flooding and damage.",$3.60,,62
Tropical Cyclone,661,Hurricane Juan, Oct 1985,,27 10 1985,31 10 1985,"Category 1 hurricane makes landfall near Morgan City, Louisiana. Hurricane Juan's slow movement causes severe flooding in Louisiana, Mississippi, Alabama and Florida. Southern Louisiana was most severely affected due to widespread rainfall of 10-15 inches that caused substantial flooding.",$3.90,,63
Tropical Cyclone,664,Hurricane Gloria, Sep 1985,,26 09 1985,28 09 1985,"Category 2 hurricane makes several landfalls along the eastern seaboard, affecting states from North Carolina to Maine.",$2.30,Y,11
Tropical Cyclone,667,Hurricane Elena, Sep 1985,,30 08 1985,3 09 1985,"Category 3 hurricane approaches the Florida Panhandle prior to landfall near Biloxi, Mississippi. Considerable wind and rain impacts were felt from Florida to Louisiana.",$3.40,,4
Freeze,670,Florida Freeze, Jan 1985,,20 01 1985,22 01 1985,Severe freeze over central/northern Florida damages citrus crops.,$3.20,,0
Winter Storm,673,"Winter Storm, Cold Wave", Jan 1985,,19 01 1985,22 01 1985,"Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",$2.20,Y,150
Severe Storm,676,Severe Storms and Hail, Jun 1984,,13 06 1984,17 06 1984,"Severe storms and hail impact Colorado, South Dakota and Nebraska.",$1.20,Y,1
Severe Storm,679,"Tornadoes, Severe Storms, Floods",Spring 1984,,27 03 1984,7 04 1984,"States in the Southeast and Northeast regions are impacted by tornadoes, severe storms, and flooding. The states impacted include GA, FL, SC, NC, VA, MD, DE, NJ, NY, PA, CT, MA and RI.",$1.60,Y,80
Freeze,682,Freeze / Cold Wave, Dec 1983,,15 12 1983,25 12 1983,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,$5.70,,151
Drought,685,Southeast Drought,Summer 1983,,1 06 1983,31 08 1983,"1983 flash drought in the southeastern U.S. with losses to agriculture, most notably corn and soybeans. The states impacted include AL, AR, GA, KY, LA, MO, MS, NC, SC, TN and VA.",$8.40,,0
Tropical Cyclone,688,Hurricane Alicia, Aug 1983,,17 08 1983,20 08 1983,"Category 3 hurricane makes landfall near Galveston, Texas with maximum sustained winds 115 mph. Hurricane Alicia was the first hurricane to hit the United States mainland since Hurricane Allen in August 1980.",$8.50,,21
Flooding,691,Western Storms and Flooding,December 1982-March 1983,,13 12 1982,31 03 1983,"Severe storms and flooding, especially in the states of WA, OR, CA, AZ, NV, ID, UT, and MT",$4.40,,50
Flooding,694,Gulf States Storms and Flooding,December 1982-January 1983,,1 12 1982,15 01 1983,"Severe storms and flooding, especially in the states of TX, AR, LA, MS, AL, GA, and FL",$4.50,,45
Severe Storm,697,Severe Storms, Jun 1982,,31 05 1982,10 06 1982,"Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",$1.40,Y,30
Severe Storm,700,Midwest/ Plains/ Southeast Tornadoes, Apr 1982,,2 04 1982,4 04 1982,"Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",$1.40,Y,33
Winter Storm,703,"Midwest/ Southeast/ Northeast Winter Storm, Cold Wave", Jan 1982,,8 01 1982,16 01 1982,"Winter storm and cold wave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",$2.00,Y,85
Severe Storm,706,"Severe Storms, Flash Floods, Hail, Tornadoes", May 1981,,5 05 1981,10 05 1981,"Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",$1.30,Y,20
Freeze,709,Florida Freeze, Jan 1981,,12 01 1981,14 01 1981,"Severe freeze heavily damaged fruit crops across Florida. Over 25,000 Florida farms were impacted and sustained losses.",$1.80,Y,0
Drought,712,Central/ Eastern Drought/ Heat Wave,Summer-Fall 1980,,1 06 1980,30 11 1980,"Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",$35.80,,"1,260"
Tropical Cyclone,715,Hurricane Allen, Aug 1980,,7 08 1980,11 08 1980,"Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",$2.10,Y,13
Flooding,718,Southern Severe Storms and Flooding, Apr 1980,,10 04 1980,17 04 1980,"Severe storms and flooding affect several states (AR, LA, MS) across the South.",$2.50,Y,7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
